Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion
10,1,4,3,3,2,0.509485095
10,1,1,1,0,5,0.636363636
10,1,4,6,2,2,0.567307692
10,1,2,4,3,2,0.609195402
10,1,1,4,2,2,0.628571429
10,1,4,6,4,5,0.753846154
10,1,2,3,2,2,0.48758465
10,1,1,8,2,3,0.637462236
10,1,3,8,3,4,0.510971787
10,1,1,2,1,4,0.336065574
10,1,3,8,1,2,0.380165289
10,1,4,3,1,1,0.565495208
10,1,3,4,3,4,0.793187348
10,1,1,4,4,4,0.329411765
10,1,4,8,1,3,0.645768025
10,1,1,3,2,2,0.530259366
10,1,3,2,4,5,0.384408602
10,1,1,3,4,3,0.561056106
10,1,3,2,2,3,0.467091295
10,1,1,8,4,4,0.321321321
10,1,3,3,1,1,0.591362126
10,1,2,3,4,4,0.7
10,1,1,3,1,1,0.385338346
10,1,2,6,3,3,0.373134328
10,1,4,8,3,4,0.563245823
10,1,1,4,3,4,0.775967413
10,1,2,6,4,5,0.583596215
10,1,4,2,3,3,0.279538905
10,1,3,2,3,3,0.615384615
10,1,4,2,1,2,0.42516269
10,1,1,4,1,2,0.415213946
10,1,2,1,0,5,0.657807309
10,1,4,2,2,3,0.591966173
10,1,3,4,2,2,0.29245283
10,1,2,2,1,2,0.336448598
10,1,4,8,2,3,0.523809524
11,1,4,8,3,4,0.604651163
11,1,1,3,2,2,0.598272138
11,1,3,4,3,3,0.317880795
11,1,2,8,1,1,0.166112957
11,1,3,8,1,2,0.558139535
11,1,2,1,0,4,0.338870432
11,1,4,3,1,1,0.282392027
11,1,3,2,3,5,0.508982036
11,1,4,3,2,2,0.720930233
11,1,3,3,1,2,0.355481728
11,1,1,8,1,3,0.445182724
11,1,2,4,3,2,0.365448505
11,1,4,2,1,3,0.23255814
11,1,3,4,2,2,0.119601329
11,1,4,2,2,4,0.196013289
11,1,1,1,0,5,0.289036545
11,1,3,2,4,5,0.242524917
11,1,4,2,3,5,0.508305648
11,1,3,6,3,4,0.358803987
11,1,2,3,2,2,0.612188366
11,1,1,8,2,4,0.322259136
11,1,2,2,1,3,0.408637874
11,1,1,3,1,2,0.5
11,1,3,2,2,4,0.222591362
11,1,2,6,3,3,0.486956522
11,1,1,8,4,4,0.448504983
11,1,3,8,3,3,0.481727575
11,1,2,3,4,4,0.478405316
11,1,4,6,2,2,0.162790698
11,1,1,4,1,2,0.405315615
11,1,4,6,1,2,0.43902439
11,1,1,2,1,2,0.378737542
11,1,4,8,2,3,0.367924528
11,1,1,4,3,3,0.551495017
11,1,4,6,4,4,0.561764706
11,1,1,4,4,4,0.513245033
11,1,2,6,4,3,0.259047619
11,1,4,3,3,2,0.794019934
11,1,1,4,2,2,0.458471761
11,1,4,8,1,2,0.746710526
11,1,2,8,4,3,0.318936877
11,1,1,3,4,3,0.611295681
11,1,4,2,4,5,0.34551495
11,1,3,4,4,4,0.658031088
11,1,4,3,4,4,0.464788732
11,1,1,6,1,2,0.390322581
11,1,4,1,0,4,0.612612613
11,1,2,2,4,5,0.647181628
11,1,4,8,4,3,0.425249169
11,1,1,2,3,3,0.411111111
11,1,4,4,3,2,0.431893688
11,1,2,8,3,3,0.5
11,1,1,2,4,2,0.292358804
11,1,2,3,1,1,0.631097561
11,1,3,3,4,2,0.350931677
11,1,1,8,3,2,0.649006623
11,1,2,4,4,4,0.335548173
11,1,1,6,2,3,0.42192691
11,1,4,4,4,3,0.282392027
11,1,3,3,3,2,0.566510172
11,1,2,8,2,2,0.299003322
11,1,4,4,1,2,0.464
11,1,3,1,0,4,0.528239203
11,1,2,4,1,1,0.438538206
11,1,3,8,4,3,0.265151515
11,1,1,6,3,3,0.232758621
11,1,3,3,2,2,0.376996805
11,1,2,2,2,3,0.481727575
11,1,3,6,1,1,0.275747508
11,1,1,6,4,3,0.666666667
11,1,2,6,2,2,0.254385965
11,1,4,6,3,3,0.351807229
11,1,2,3,3,2,0.337142857
11,1,3,2,1,2,0.636150235
11,1,4,4,2,2,0.289036545
11,1,1,3,3,2,0.378737542
11,1,3,8,2,3,0.471760797
11,1,1,2,2,3,0.231707317
11,1,3,6,2,2,0.447887324
11,1,2,2,3,4,0.634955752
11,1,3,6,4,3,0.591362126
11,1,2,4,2,2,0.785100287
11,1,3,4,1,1,0.343575419
11,1,2,6,1,1,0.454068241
12,1,3,6,4,4,0.451428571
12,1,1,2,4,5,0.420886076
12,1,3,3,2,2,0.634146341
12,1,2,6,2,1,0.645259939
12,1,4,3,4,3,0.465116279
12,1,1,6,1,2,0.271719039
12,1,2,2,3,4,0.476117103
12,1,4,6,3,4,0.252840909
12,1,2,4,4,4,0.227848101
12,1,4,2,4,5,0.208
12,1,3,4,4,4,0.664596273
12,1,2,4,2,2,0.322884013
12,1,4,1,0,5,0.342379958
12,1,1,2,2,4,0.301675978
12,1,4,4,2,2,0.25
12,1,3,8,2,2,0.296829971
12,1,4,4,1,2,0.106109325
12,1,2,2,4,5,0.312292359
12,1,1,2,3,5,0.422916667
12,1,2,2,2,4,0.130790191
12,1,3,2,1,4,0.365448505
12,1,1,8,3,3,0.259938838
12,1,3,8,4,3,0.477011494
12,1,2,8,3,3,0.505636071
12,1,1,6,2,2,0.36809816
12,1,2,8,2,2,0.478405316
12,1,3,6,2,2,0.707317073
12,1,1,3,3,3,0.501577287
12,1,3,1,0,5,0.430588235
12,1,1,6,3,5,0.273291925
12,1,3,6,1,1,0.465045593
12,1,2,4,1,1,0.47611465
12,1,4,4,4,4,0.428571429
12,1,2,6,1,1,0.369109948
12,1,3,4,1,1,0.492113565
12,1,4,8,4,4,0.345549738
12,1,3,3,3,2,0.675438596
12,1,2,3,3,2,0.486486486
12,1,1,6,4,4,0.456140351
12,1,2,3,1,1,0.186885246
12,1,3,3,4,3,0.296385542
12,1,4,4,3,2,0.288515406
12,1,1,8,4,5,0.621568627
12,1,4,2,2,3,0.33901919
12,1,2,3,2,1,0.511749347
12,1,1,8,2,4,0.253205128
12,1,4,6,1,1,0.777777778
12,1,1,3,4,4,0.406483791
12,1,4,8,1,1,0.391713748
12,1,3,6,3,4,0.546116505
12,1,1,3,2,3,0.252688172
12,1,3,3,1,1,0.244791667
12,1,4,3,1,1,0.345771144
12,1,3,4,2,2,0.205882353
12,1,4,8,3,4,0.574503311
12,1,1,8,1,2,0.252491694
12,1,2,1,0,5,0.315340909
12,1,3,2,2,4,0.210084034
12,1,1,4,1,2,0.321192053
12,1,3,8,1,2,0.428205128
12,1,1,4,3,3,0.263322884
12,1,2,6,4,4,0.574955908
12,1,3,2,4,5,0.512014787
12,1,1,3,1,1,0.606557377
12,1,2,2,1,3,0.390710383
12,1,1,1,0,4,0.281578947
12,1,2,6,3,3,0.444987775
12,1,4,2,3,4,0.51651255
12,1,1,2,1,3,0.199335548
12,1,3,4,3,3,0.396551724
12,1,2,3,4,4,0.458715596
12,1,4,6,2,2,0.196013289
12,1,1,4,4,5,0.231843575
12,1,4,8,2,3,0.529411765
12,1,3,2,3,5,0.385802469
12,1,4,3,2,2,0.317738791
12,1,1,4,2,2,0.468045113
12,1,4,2,1,3,0.402654867
12,1,2,8,1,2,0.202657807
12,1,4,6,4,4,0.523012552
12,1,2,8,4,4,0.327225131
12,1,3,8,3,4,0.259016393
12,1,2,4,3,3,0.268072289
12,1,4,3,3,3,0.454402516
13,1,2,6,3,3,0.623115578
13,1,4,8,3,5,0.530864198
13,1,3,8,3,4,0.62037037
13,1,2,2,1,3,0.373088685
13,1,1,4,2,2,0.53525641
13,1,2,8,1,1,0.232835821
13,1,3,2,4,4,0.551537071
13,1,2,8,4,4,0.752808989
13,1,1,3,1,1,0.527093596
13,1,4,3,2,1,0.431192661
13,1,1,3,4,3,0.278443114
13,1,2,6,4,5,0.529411765
13,1,1,2,1,3,0.330218069
13,1,3,2,3,5,0.511149228
13,1,4,8,2,2,0.194528875
13,1,1,4,4,3,0.598484848
13,1,3,4,2,1,0.769392034
13,1,4,6,4,4,0.741847826
13,1,3,8,1,2,0.315614618
13,1,1,4,3,2,0.542334096
13,1,2,3,4,4,0.348387097
13,1,1,8,2,2,0.522988506
13,1,4,2,2,2,0.320954907
13,1,2,3,2,2,0.585139319
13,1,4,6,1,1,0.480555556
13,1,1,8,4,3,0.553571429
13,1,4,6,2,1,0.508379888
13,1,1,8,1,2,0.465714286
13,1,4,2,3,2,0.334355828
13,1,1,1,0,3,0.399371069
13,1,3,2,2,3,0.442982456
13,1,4,3,3,1,0.622222222
13,1,1,3,2,1,0.3
13,1,3,4,3,2,0.424050633
13,1,2,1,0,4,0.378737542
13,1,4,8,1,2,0.501577287
13,1,3,6,3,1,0.542239686
13,1,4,3,1,1,0.573770492
13,1,1,4,1,1,0.461783439
13,1,3,3,1,1,0.169435216
13,1,2,4,3,2,0.11627907
13,1,4,2,1,2,0.299382716
13,1,2,3,1,1,0.159353349
13,1,3,3,2,2,0.182724252
13,1,2,8,3,2,0.572025052
13,1,3,6,1,2,0.495750708
13,1,1,6,2,2,0.480446927
13,1,4,4,2,1,0.544850498
13,1,2,2,4,4,0.454054054
13,1,3,1,0,5,0.196850394
13,1,1,3,3,2,0.221884498
13,1,4,4,1,2,0.151603499
13,1,2,3,3,1,0.157894737
13,1,1,8,3,3,0.11965812
13,1,4,3,4,3,0.527950311
13,1,1,2,3,4,0.74393531
13,1,4,4,3,1,0.162790698
13,1,1,6,3,2,0.480645161
13,1,3,4,4,2,0.361842105
13,1,2,6,2,1,0.674418605
13,1,3,6,4,2,0.617977528
13,1,2,6,1,1,0.673913043
13,1,4,6,3,3,0.356466877
13,1,2,8,2,2,0.512578616
13,1,3,4,1,1,0.504983389
13,1,2,4,4,4,0.163461538
13,1,3,6,2,2,0.56284153
13,1,2,4,2,1,0.627659574
13,1,4,1,0,5,0.732704403
13,1,2,2,2,3,0.556962025
13,1,1,6,4,3,0.026578073
13,1,3,8,2,1,0.452531646
