Participant,DoF,Contents,Codecs,Bitrates,Scores,Motion,Playback
12,1,4,6,1,1,0.777777778,Adaptive
12,1,1,3,4,4,0.406483791,Naïve
12,1,4,8,1,1,0.391713748,Adaptive
12,1,3,6,3,4,0.546116505,Adaptive
12,1,1,3,2,3,0.252688172,Naïve
12,1,3,3,1,1,0.244791667,Naïve
12,1,4,3,1,1,0.345771144,Naïve
12,1,3,4,2,2,0.205882353,Adaptive
12,1,4,8,3,4,0.574503311,Adaptive
12,1,1,8,1,2,0.252491694,Adaptive
12,1,2,1,0,5,0.315340909,Naïve
12,1,3,2,2,4,0.210084034,Naïve
12,1,1,4,1,2,0.321192053,Adaptive
12,1,3,8,1,2,0.428205128,Adaptive
12,1,1,4,3,3,0.263322884,Adaptive
12,1,2,6,4,4,0.574955908,Adaptive
12,1,3,2,4,5,0.512014787,Naïve
12,1,1,3,1,1,0.606557377,Naïve
12,1,2,2,1,3,0.390710383,Naïve
12,1,1,1,0,4,0.281578947,Naïve
12,1,2,6,3,3,0.444987775,Adaptive
12,1,4,2,3,4,0.51651255,Naïve
12,1,1,2,1,3,0.199335548,Naïve
12,1,3,4,3,3,0.396551724,Adaptive
12,1,2,3,4,4,0.458715596,Naïve
12,1,4,6,2,2,0.196013289,Adaptive
12,1,1,4,4,5,0.231843575,Adaptive
12,1,4,8,2,3,0.529411765,Adaptive
12,1,3,2,3,5,0.385802469,Naïve
12,1,4,3,2,2,0.317738791,Naïve
12,1,1,4,2,2,0.468045113,Adaptive
12,1,4,2,1,3,0.402654867,Naïve
12,1,2,8,1,2,0.202657807,Adaptive
12,1,4,6,4,4,0.523012552,Adaptive
12,1,2,8,4,4,0.327225131,Adaptive
12,1,3,8,3,4,0.259016393,Adaptive
12,1,2,4,3,3,0.268072289,Adaptive
12,1,4,3,3,3,0.454402516,Naïve
13,1,2,6,3,3,0.623115578,Adaptive
