Participant;DoF;Contents;Codecs;Bitrates;Scores;Session;ViewOrder
14;1;2;1;3;5;S01;10
14;1;1;7;3;4;S01;11
14;1;4;2;4;3;S01;12
14;1;2;7;2;2;S01;13
14;1;3;5;4;4;S01;14
14;1;4;3;3;5;S01;15
14;1;2;5;2;2;S01;16
14;1;4;3;1;1;S01;17
14;1;1;5;1;1;S01;18
14;1;3;5;1;1;S01;19
14;1;4;5;3;4;S01;20
14;1;3;7;2;3;S01;21
14;1;2;2;1;1;S01;22
14;1;3;3;4;4;S01;23
14;1;4;3;2;2;S01;24
14;1;2;1;2;5;S01;25
14;1;4;0;0;5;S01;26
14;1;3;7;4;5;S01;27
14;1;4;3;4;4;S01;28
14;1;3;2;2;2;S01;29
14;1;2;7;3;3;S01;30
14;1;3;3;1;2;S01;31
14;1;2;1;4;5;S01;32
14;1;1;1;2;3;S01;33
14;1;2;3;2;2;S01;34
14;1;3;0;0;4;S01;35
14;1;2;5;1;1;S01;36
14;1;4;7;4;5;S01;37
14;1;3;5;2;3;S01;38
14;1;4;1;4;3;S01;39
14;1;1;2;3;3;S01;40
14;1;2;3;4;5;S01;41
14;1;1;5;2;3;S01;42
14;1;2;2;2;2;S02;1
14;1;4;2;1;1;S02;2
14;1;1;1;1;3;S02;3
14;1;4;7;2;3;S02;4
14;1;1;3;3;3;S02;5
14;1;4;5;2;3;S02;6
14;1;3;7;1;2;S02;7
14;1;1;2;2;2;S02;8
14;1;4;7;3;5;S02;9
14;1;1;0;0;5;S02;10
14;1;2;0;0;5;S02;11
14;1;3;7;3;5;S02;12
14;1;4;1;1;2;S02;13
14;1;2;5;4;3;S02;14
14;1;3;1;2;3;S02;15
14;1;4;2;2;1;S02;16
14;1;3;1;4;4;S02;17
14;1;1;2;1;1;S02;18
14;1;3;5;3;3;S02;19
14;1;2;5;3;3;S02;20
14;1;3;2;1;1;S02;21
14;1;4;5;1;2;S02;22
14;1;2;7;4;4;S02;23
14;1;4;1;2;3;S02;24
14;1;1;2;4;3;S02;25
14;1;4;5;4;3;S02;26
14;1;1;7;1;2;S02;27
14;1;2;1;1;3;S02;28
14;1;1;3;1;2;S02;29
14;1;2;7;1;2;S02;30
14;1;1;7;4;4;S02;31
14;1;2;3;3;3;S02;32
14;1;4;2;3;3;S02;33
14;1;3;3;3;2;S02;34
14;1;1;3;2;2;S02;35
14;1;3;3;2;2;S02;36
14;1;2;2;4;4;S02;37
14;1;1;7;2;3;S02;38
14;1;4;1;3;3;S02;39
14;1;3;1;3;5;S02;40
14;1;1;3;4;4;S02;41
14;1;4;7;1;2;S02;42
15;1;3;1;3;4;S01;1
15;1;1;1;1;3;S01;2
15;1;3;3;3;3;S01;3
15;1;2;7;1;2;S01;4
15;1;3;7;3;3;S01;5
15;1;2;1;1;3;S01;6
15;1;1;3;1;2;S01;7
15;1;2;7;4;4;S01;8
15;1;1;3;3;4;S01;9
15;1;4;7;3;4;S01;10
15;1;1;2;4;4;S01;11
15;1;4;2;2;1;S01;12
15;1;3;1;2;3;S01;13
15;1;4;1;1;2;S01;14
15;1;2;5;4;4;S01;15
15;1;1;0;0;4;S01;16
15;1;2;5;3;4;S01;17
15;1;3;1;4;4;S01;18
15;1;4;1;2;3;S01;19
15;1;1;2;2;1;S01;20
15;1;4;2;1;1;S01;21
15;1;3;2;1;1;S01;22
15;1;4;7;1;2;S01;23
15;1;1;7;4;4;S01;24
15;1;2;2;4;3;S01;25
15;1;1;7;1;3;S01;26
15;1;3;7;1;3;S01;27
15;1;4;1;3;4;S01;28
15;1;1;3;4;4;S01;29
15;1;4;5;1;1;S01;30
15;1;3;3;2;1;S01;31
15;1;4;7;2;3;S01;32
15;1;1;2;1;1;S01;33
15;1;2;0;0;5;S01;34
15;1;1;7;2;4;S01;35
15;1;4;5;4;5;S01;36
15;1;1;3;2;2;S01;37
15;1;2;3;3;3;S01;38
15;1;4;5;2;4;S01;39
15;1;2;2;2;2;S01;40
15;1;4;2;3;3;S01;41
15;1;3;5;3;4;S01;42
15;1;3;5;2;3;S02;1
